Region,Area,Gear,Period,1982,1984,1985,Median,Adjusted_Mean,Comments,
AK,107-OUT,TR,1,1,1,1,1,1,"Agreed non-intercept area, 107-10, 107-35 (Anita Bay SHA) only",
AK,107-OUT,TR,2,1,1,1,1,1,"""",
AK,107-OUT,TR,3,1,1,1,1,1,"""",
AK,107-OUT,TR,4,1,1,1,1,1,"""",
AK,108-IN,GN,0,1,1,1,1,1,Terminal,
AK,108-IN,TR,0,1,1,1,1,1,Terminal,
AK,108-OUT,GN,1,1,1,1,1,1,Agreed non-intercept area,
AK,108-OUT,GN,2,1,1,1,1,1,"     """,
AK,108-OUT,GN,3,1,1,1,1,1,"     """,
AK,108-OUT,GN,4,1,1,1,1,1,"     """,
AK,108-OUT,TR,1,1,1,1,1,1,Agreed non-intercept area,
AK,108-OUT,TR,2,1,1,1,1,1,"     """,
AK,108-OUT,TR,3,1,1,1,1,1,"     """,
AK,108-OUT,TR,4,1,1,1,1,1,"     """,
AK,150,TR,1,0.960833333,0.982083333,0.992222222,0.982083333,0.981898093,,
AK,150,TR,2,0.905952381,0.880833333,0.984444444,0.905952381,0.938116826,,
AK,150,TR,3,0.85,0.940833333,0.96,0.940833333,0.928663883,,
AK,150,TR,4,0.983333333,0.960416667,0.956666667,0.960416667,0.971193154,,
AK,152,TR,1,0.885,0.975,0.965,0.965,0.949075799,,
AK,152,TR,2,0.841428571,0.84,0.965,0.841428571,0.901988532,,
AK,152,TR,3,0.75,0.94,0.94,0.94,0.891641823,,
AK,152,TR,4,0.96,0.94,0.895,0.94,0.93891251,,
BC,1-OUT,GN,1,0.85,0.86,0.72,0.85,0.82810623,"82,85 = Langara; 84 = 1-16,17,18",
BC,1-OUT,GN,2,0.69,0.74,0.23,0.69,0.583723142,Every sub-area not included in 1-IN,
BC,1-OUT,GN,3,0.78,0.36,0.43,0.43,0.558193928,"""",
BC,1-OUT,GN,4,0.86,0.37,0.445,0.445,0.590714659,"""",
BC,1-OUT,SE,1,0.85,0.86,0.72,0.85,0.82810623,"82,85 = Langara; 84 = 1-16,17,18",
BC,1-OUT,SE,2,0.69,0.74,0.23,0.69,0.583723142,Every sub-area not included in 1-IN,
BC,1-OUT,SE,3,0.78,0.36,0.43,0.43,0.558193928,"""",
BC,1-OUT,SE,4,0.86,0.37,0.445,0.445,0.590714659,"""",
BC,1-IN,GN,0,0,0,0,0,0,Sub-areas 1-6 and 1-4,
BC,1-IN,SE,0,0,0,0,0,0,Sub-areas 1-6 and 1-4,
BC,1,TR,1,0.91,0.861666667,0.826666667,0.861666667,0.881748607,Average of all Dixon and Langara,
BC,1,TR,2,0.765,0.783333333,0.58,0.765,0.73546305,Area 1 and 101,
BC,1,TR,3,0.725,0.663333333,0.56,0.663333333,0.682652444,"""",
BC,1,TR,4,0.9,0.646666667,0.536666667,0.646666667,0.722534625,"""",
BC,2E,GN,0,0,0,0,0,0,Agreed non-intercept area,
BC,2E,SE,0,0,0,0,0,0,Agreed non-intercept area,
BC,2E,TR,1,0,0,0,0,0,Agreed non-intercept area,
BC,2E,TR,2,0,0,0,0,0,Area 2E and 102,
BC,2E,TR,3,0,0,0,0,0,"""",
BC,2E,TR,4,0,0,0,0,0,"""",
BC,2W,GN,0,0,0,0,0,0,Agreed non-intercept area,
BC,2W,SE,0,0,0,0,0,0,Agreed non-intercept area,
BC,2W,TR,1,0,0,0,0,0,Agreed non-intercept area,
BC,2W,TR,2,0,0,0,0,0,Area 2W and 142,
BC,2W,TR,3,0,0,0,0,0,"     """,
BC,2W,TR,4,0,0,0,0,0,"     """,
BC,3-(1),GN,1,0.87,0.84,1,0.87,0.922123451,3X,
BC,3-(1),GN,2,0.49,0.62,0.54,0.54,0.587890213,"     """,
BC,3-(1),GN,3,0.26,0.28,0.19,0.26,0.277490782,"     """,
BC,3-(1),GN,4,0.74,0.05,0.09,0.09,0.30925117,"     """,
BC,3-(1),SE,1,0.87,0.84,1,0.87,0.922123451,3X,
BC,3-(1),SE,2,0.49,0.62,0.54,0.54,0.587890213,"     """,
BC,3-(1),SE,3,0.26,0.28,0.19,0.26,0.277490782,"     """,
BC,3-(1),SE,4,0.74,0.05,0.09,0.09,0.30925117,"     """,
BC,3-(2-4),GN,1,0.48,0.89,0.92,0.89,0.7861172,3Y,
BC,3-(2-4),GN,2,0.33,0.6,0.89,0.6,0.643940936,"     """,
BC,3-(2-4),GN,3,0.3,0.53,0.71,0.53,0.551592809,"     """,
BC,3-(2-4),GN,4,0.63,0.1,0.22,0.22,0.340052343,"     """,
BC,3-(2-4),SE,1,0.48,0.89,0.92,0.89,0.7861172,3Y,
BC,3-(2-4),SE,2,0.33,0.6,0.89,0.6,0.643940936,"     """,
BC,3-(2-4),SE,3,0.3,0.53,0.71,0.53,0.551592809,"     """,
BC,3-(2-4),SE,4,0.63,0.1,0.22,0.22,0.340052343,"     """,
BC,3-(7-17),GN,1,0.44,0.91,0.99,0.91,0.801118182,3Z,
BC,3-(7-17),GN,2,0.33,0.6,0.84,0.6,0.627274269,"     """,
BC,3-(7-17),GN,3,0.27,0.33,0.54,0.33,0.416228092,"     """,
BC,3-(7-17),GN,4,1,0.14,0.18,0.18,0.454727071,"     """,
BC,3-(7-17),SE,1,0.44,0.91,0.99,0.91,0.801118182,3Z,
BC,3-(7-17),SE,2,0.33,0.6,0.84,0.6,0.627274269,"     """,
BC,3-(7-17),SE,3,0.27,0.33,0.54,0.33,0.416228092,"     """,
BC,3-(7-17),SE,4,1,0.14,0.18,0.18,0.454727071,"     """,
BC,3,TR,1,0.87,0.84,1,0.87,0.922123451,Same as 3X,
BC,3,TR,2,0.49,0.62,0.54,0.54,0.587890213,"     """,
BC,3,TR,3,0.26,0.28,0.19,0.26,0.277490782,"     """,
BC,3,TR,4,0.74,0.05,0.09,0.09,0.30925117,"     """,
BC,4-OUT,GN,1,0.93,0.54,1,0.93,0.853085408,Area 4,
BC,4-OUT,GN,2,0.64,0.42,0.13,0.42,0.435739703,"Sub-areas 4-1 to 4-3, 4-5 and 4-13",
BC,4-OUT,GN,3,0.08,0.2,0.07,0.08,0.140037039,"     """,
BC,4-OUT,GN,4,0.085,0.23,0,0.085,0.130426683,"     """,
BC,4-OUT,SE,1,0.93,0.54,1,0.93,0.853085408,Area 4,
BC,4-OUT,SE,2,0.64,0.42,0.13,0.42,0.435739703,"Sub-areas 4-1 to 4-3, 4-5 and 4-13",
BC,4-OUT,SE,3,0.08,0.2,0.07,0.08,0.140037039,"     """,
BC,4-OUT,SE,4,0.085,0.23,0,0.085,0.130426683,"     """,
BC,4-IN,GN,0,0,0,0,0,0,All sub-areas not included in 4-OUT,
BC,4-IN,SE,0,0,0,0,0,0,All sub-areas not included in 4-OUT,
BC,4,TR,1,0.93,0.54,1,0.93,0.853085408,Area 4,
BC,4,TR,2,0.64,0.42,0.13,0.42,0.435739703,Area 4 and 104,
BC,4,TR,3,0.08,0.2,0.07,0.08,0.140037039,"     """,
BC,4,TR,4,0.085,0.23,0,0.085,0.130426683,"     """,
BC,5-OUT,GN,1,0.775,0.86,0.99,0.86,0.895581901,Area 5,
BC,5-OUT,GN,2,0.62,0.29,0.17,0.29,0.396234794,Sub-areas 5-10 to 5-12,
BC,5-OUT,GN,3,0.19,0.11,0.07,0.11,0.144104111,"     """,
BC,5-OUT,GN,4,0.09,0.4,0,0.09,0.194821828,"     """,
BC,5-OUT,SE,1,0.775,0.86,0.99,0.86,0.895581901,Area 5,
BC,5-OUT,SE,2,0.62,0.29,0.17,0.29,0.396234794,Sub-areas 5-10 to 5-12,
BC,5-OUT,SE,3,0.19,0.11,0.07,0.11,0.144104111,"     """,
BC,5-OUT,SE,4,0.09,0.4,0,0.09,0.194821828,"     """,
BC,5-IN,GN,0,0,0,0,0,0,All sub-areas not included in 5-OUT,
BC,5-IN,SE,0,0,0,0,0,0,All sub-areas not included in 5-OUT,
BC,5,TR,1,0.775,0.86,0.99,0.86,0.895581901,Area 5,
BC,5,TR,2,0.62,0.29,0.17,0.29,0.396234794,Area 5 and 105,
BC,5,TR,3,0.19,0.11,0.07,0.11,0.144104111,"     """,
BC,5,TR,4,0.09,0.4,0,0.09,0.194821828,"     """,
